LOCUS,GD,WD,PD,JD,JS,PS,GS,SUMMARY
1646:53 [1888],,,Sd,,,,,
1646:62 [1889],m,,,,m,,m,
1646:63 [1890],m,,,,m,,m,
1649:11 [1891],,,m,Sd,m,Sd,,
1649:17 [1892],,,m,Sd,m,Sd,,
1649:62 [1893],,,m,Sd,m,Sd,,
1649:70 [1894],,,m,Sd,m,Sd,,
1649:75 [1895],,,m,Sd,m,Sd,,
1649:79 [1896],,,m,m,m,,m,
1651:4 [1897],,m,m,m,,m,m,
1651:44 [1898],,,,,,,,
1651:45 [1899],,,,,,,,
1651:49 [1900],,,,,,,,
1651:62 [1901],m,,m,m,m,m,,
1651:79 [1902],Sd,,,,,,,
1662:3 [1903],,,,,Sd,m,m,
1662:25 [1904],,,,,Sd,,,
1662:46 [1905],Sd,,,,,,,
1662:67 [1906],,,m,m,,m,m,
1662:70 [1907],,m,m,m,,Sd,,
1662:72 [1908],,m,m,m,,Sd,,
1664:18 [1909],,m,,,,m,m,
1664:31 [1910],m,m,m,m,m,m,,
1664:35 [1911],,,,,,,,
1676:2 [1912],m,m,m,m,,m,,
1676:14 [1913],m,m,m,m,m,m,,
1676:16 [1914],m,m,m,m,m,m,,
1676:31 [1915],m,m,m,m,m,m,,
1676:79 [1916],,,,Sd,,,,
1676:80 [1917],m,m,,m,m,m,,
1684:4 [1918],m,,Sd,,,,,
1684:13 [1919],,m,m,m,m,,m,
1685:15 [1920],,,,,,,,
1685:26 [1921],m,m,,,m,,,
1685:44 [1922],,,,,,,,
1685:57 [1923],,,,,,,,
1685:71 [1924],,,,,,,,
1686:17 [1925],,,,,,,,
1686:33 [1926],m,,m,,m,m,m,
1686:60 [1927],m,,,,,,,
1691:59 [1928],,m,Sd,,,,,
1704:30 [1929],Sd,,,,,,,
1704:32 [1930],Sd,,,,,,,
1704:36 [1931],,,m,,m,,,
1704:43 [1932],,,m,,m,,,
1711:33 [1933],,,,,,,,
1711:43 [1934],,,,,,,,
1711:55 [1935],m,m,m,m,,,,
1711:59 [1936],m,m,m,m,,,,
1711:66 [1937],m,m,m,m,,,,
1711:74 [1938],,,,,m,m,m,
1714:6 [1939],,,m,,,,,
1714:54 [1940],,,m,,,,,
1719:32 [1941],,,Sd,,,Sd,,
1722:2 [1942],,,,,,,,
1722:8 [1943],m,m,,m,m,m,m,
1722:11 [1944],,,m,,,,,
1722:42 [1945],,,,,,,,
1722:44 [1946],m,,Sd,,,Sd,,
1722:54 [1947],,,,,,,,
1722:63 [1948],,m,m,m,,m,m,
1722:79 [1949],,,m,,,,,
1723:63 [1950],,,,Sd,,,,
1730:19 [1951],m,m,m,,m,m,m,
1732:13 [1952],,,m,m,m,m,m,
1732:49 [1953],,,,,m,Sd,,
1732:53 [1954],,,,m,,,,
1732:54 [1955],,,,,m,Sd,,
1732:65 [1956],,,,,,m,,
1732:69 [1957],m,,,,m,,,
1732:72 [1958],,,,,m,Sd,,
1734:38 [1959],,m,m,m,m,,m,
1737:13 [1960],,,m,,,,Sd,
1737:23 [1961],,,m,Sd,,,,
1737:76 [1962],m,,m,,,m,m,
1744:20 [1963],,,,,,,,
1744:21 [1964],,,,,,m,m,
1744:34 [1965],,,,Sd,,,,
1746:10 [1966],,,,,,,,
1746:20 [1967],m,m,,,,,,
1746:78 [1968],Sd,,Sd,,,,,
1747:17 [1969],m,,m,m,m,m,,
1747:27 [1970],,,,,,,,
1747:29 [1971],,,,,,,,
1747:30 [1972],,m,,m,m,,m,
1747:48 [1973],,m,,m,,m,,
1747:55 [1974],,,,,,,,
1747:60 [1975],,m,m,,m,m,m,
1747:70 [1976],m,m,,m,,m,,
1747:73 [1977],m,m,,m,,m,m,
1750:47 [1978],m,m,Sd,m,Sd,m,Sd,
1750:55 [1979],m,m,Sd,m,Sd,m,,
1750:60 [1980],Sd,Sd,Sd,Sd,Sd,Sd,Sd,SIGN
1750:63 [1981],m,,Sd,,,,,
1754:22 [1982],,,m,,m,,m,
1754:37 [1983],m,,m,,m,m,,
1757:18 [1984],,,m,,m,,,
1757:19 [1985],Sd,Sd,,,,,,
1757:24 [1986],Sd,Sd,,,,,,
1757:25 [1987],Sd,Sd,,,,,,
1762:2 [1988],,m,,,,,,
1762:16 [1989],,,,,,,,
1762:51 [1990],,m,m,m,m,,m,
1762:62 [1991],,,,,,,,
1767:2 [1992],m,m,m,,,m,m,
1767:35 [1993],,,m,m,,m,m,
1769:27 [1994],,m,,,,,,
1769:35 [1995],,,,,,,Sd,
1769:39 [1996],,,,,,,Sd,
1769:52 [1997],m,m,,,m,,m,
1769:60 [1998],,,,,,,Sd,
1774:3 [1999],m,m,,,m,,Sd,
1774:32 [2000],m,m,m,m,,,m,
1774:37 [2001],m,m,,,m,,Sd,
1774:52 [2002],m,m,m,m,m,m,m,FIXED
1774:58 [2003],m,m,,,m,,m,
1787:19 [2004],,,,,,,m,
1787:59 [2005],,,,,,,m,
1788:7 [2006],m,m,m,,Sd,m,m,
1797:4 [2007],,,,,,,,
1797:6 [2008],m,,,,m,,m,
1797:10 [2009],m,m,m,m,m,m,m,FIXED
1797:52 [2010],,,,m,,,m,
1806:14 [2011],m,m,,m,,m,m,
1806:26 [2012],,Sd,,m,m,m,,
1808:27 [2013],m,m,m,m,m,,m,
1808:32 [2014],Se,Se,Se,,Se,Se,Se,SIGNEXCESS
1810:5 [2015],m,,,m,,,m,
1810:48 [2016],,,,,,,,
1810:55 [2017],,,,,,,,
1810:57 [2018],,,,m,,m,m,
1810:74 [2019],,,,m,,m,m,
1810:80 [2020],m,m,,m,,,m,
1811:31 [2021],,,,,,,,
1812:7 [2022],,,,,Sd,,Sd,
1812:51 [2023],,m,,m,,Sd,,
1812:56 [2024],,m,,m,,Sd,,
1813:2 [2025],m,m,,,m,,m,
1813:23 [2026],m,m,,,,,,
1813:29 [2027],m,m,,,,,,
1813:60 [2028],,,,,,,,
1814:3 [2029],,m,m,,m,m,,
1816:13 [2030],Sd,,m,m,m,m,,
1816:42 [2031],m,,m,m,m,m,,
1823:8 [2032],,,m,m,,m,m,
1824:40 [2033],,m,m,m,,,,
1824:56 [2034],m,,,m,m,m,m,
1824:79 [2035],,m,m,m,m,m,,
1825:21 [2036],m,m,m,,m,m,m,
1825:24 [2037],m,m,,m,m,m,,
1825:41 [2038],,,,,,,,
1826:2 [2039],m,,m,m,m,m,,
1832:6 [2040],,m,m,m,m,Sd,m,
1832:22 [2041],,m,,m,m,Sd,,
1832:36 [2042],,Sd,,,,,,
1832:47 [2043],,m,m,m,,,Sd,
1832:54 [2044],,m,m,m,,,Sd,
1832:71 [2045],m,m,,,m,m,m,
1836:44 [2046],,,,,,,,
1836:55 [2047],,,,,,,,
1836:65 [2048],,,,m,,,,
1836:78 [2049],m,,m,m,m,m,m,
1838:8 [2050],m,m,,m,,m,Sd,
1838:60 [2051],m,,,m,,m,m,
1839:22 [2052],Sd,m,m,,m,m,m,
1839:47 [2053],m,m,m,m,m,m,,
1839:48 [2054],,,,,,,,
1839:66 [2055],m,,m,,m,m,m,
1839:68 [2056],m,m,,m,,m,,
1848:5 [2057],,m,m,m,m,m,,
1848:32 [2058],,,,,,,,
1848:58 [2059],,,,,m,,,
1850:22 [2060],m,,Sd,,,,,
1851:17 [2061],,,,m,m,,m,
1851:41 [2062],Sd,m,m,m,m,m,Sd,
1851:51 [2063],,,,,,,,
1851:65 [2064],Sd,,,,,m,,
1857:14 [2065],m,,m,m,,,m,
1857:18 [2066],,m,m,m,m,m,m,
1857:26 [2067],m,m,Sd,,,m,m,
1857:61 [2068],m,m,,m,m,,m,
1860:2 [2069],,,,,,,,
1860:20 [2070],m,m,,m,,,m,
1860:37 [2071],,,m,m,m,m,m,
1860:54 [2072],m,m,m,m,,m,,
1863:1 [2073],,,,,,,,
1863:14 [2074],,,,,,,,
1863:32 [2075],,,,,,,,
1863:49 [2076],,,,Sd,,,,
1866:40 [2077],,,,m,,,,
1868:24 [2078],m,m,,m,m,,m,
1868:25 [2079],m,,m,m,,,,
1868:33 [2080],m,,m,m,,,,
1869:3 [2081],,Sd,,,,,,
1869:26 [2082],,Sd,,,,,,
1869:56 [2083],m,m,m,m,,,m,
1869:74 [2084],,Sd,,,,,,
1878:4 [2085],m,m,m,m,m,m,m,FIXED
1878:12 [2086],m,m,m,m,m,m,m,FIXED
1878:41 [2087],m,m,m,,Sd,,,
1878:57 [2088],m,,,,,,,
1879:17 [2089],m,m,,Sd,,,,
1879:24 [2090],m,m,,,m,,m,
1879:66 [2091],,,,,,,,
1880:46 [2092],m,Sd,Sd,Sd,,m,,
1880:49 [2093],,Sd,,,Sd,,,
1882:6 [2094],,,,,,m,,
1882:61 [2095],m,Sd,m,m,m,,,
1883:5 [2096],,m,,,m,m,,
1883:30 [2097],,,m,,Sd,,,
1883:32 [2098],,m,,,m,m,,
1883:35 [2099],,,m,,Sd,,,
1883:73 [2100],,m,,,m,m,,
1883:77 [2101],,m,,,m,m,,
1884:21 [2102],m,,,m,Sd,m,m,
1884:31 [2103],m,,,m,Sd,,,
1884:38 [2104],m,m,m,m,m,,,
1885:69 [2105],m,m,,m,m,,m,
1885:75 [2106],,,m,Sd,m,m,m,
1888:11 [2107],,m,m,m,m,,m,
1888:28 [2108],m,m,,,m,m,,
1888:31 [2109],,,,,,,,
1888:59 [2110],Sd,m,,,,,m,
1888:61 [2111],,,,,,,Sd,
1888:67 [2112],,,,,,,Sd,
1888:75 [2113],,,,,,,Sd,
1889:73 [2114],m,,m,,,,,
1890:41 [2115],m,,m,,,,,
1890:50 [2116],,,,,m,m,,
1904:16 [2117],,,,,,,,
1904:17 [2118],m,,m,,m,,,
1904:23 [2119],m,m,m,m,,m,m,
1906:10 [2120],,,,,,Sd,,
1909:3 [2121],,m,,m,m,,m,
1909:4 [2122],,m,,m,m,,m,
1917:61 [2123],m,,m,,m,m,m,
1920:3 [2124],m,,m,,,,,
1920:36 [2125],,,Sd,,,,,
1943:34 [2126],m,m,m,m,m,,m,
1943:35 [2127],m,m,m,m,m,,m,
1943:60 [2128],,m,m,,,m,,
1947:14 [2129],m,m,m,m,m,,,
1947:27 [2130],Sd,m,m,,m,m,m,
1947:44 [2131],Sd,m,m,,m,m,m,
1947:46 [2132],Sd,m,m,,m,m,m,
1947:47 [2133],Sd,m,m,,m,m,m,
1947:48 [2134],Sd,m,m,,m,m,m,
1948:18 [2135],,,,,,,,
1948:19 [2136],,,,,,,,
1949:23 [2137],m,,,m,,m,,
1949:45 [2138],,,,,,,,
1949:53 [2139],m,m,m,,m,m,,
1949:77 [2140],,,,Sd,,Sd,,
1951:16 [2141],Sd,,,,,,,
1951:22 [2142],,m,m,m,,m,,
1951:33 [2143],,m,m,m,,m,,
1951:50 [2144],,,,,m,,,
1951:53 [2145],m,Sd,,m,,,m,
1951:58 [2146],Sd,,,,,,,
1951:76 [2147],,,,,,,,
1951:79 [2148],,,,,,,,
1951:80 [2149],m,Sd,,m,,,m,
1963:5 [2150],m,,m,m,,m,m,
1963:12 [2151],,,,,,Sd,m,
1963:52 [2152],m,,m,,m,m,,
1963:58 [2153],m,,,,,,m,
1967:48 [2154],,,m,,m,,m,
1967:50 [2155],,,m,,m,,m,
1967:62 [2156],,m,,,m,,,
1967:63 [2157],,,,,,m,,
1967:69 [2158],Sd,m,m,,m,m,Sd,
1967:79 [2159],,,,Sd,,,Sd,
1968:33 [2160],Sd,,,,,,,
1968:35 [2161],m,,Sd,m,Sd,,,
1968:42 [2162],,Sd,,,,,,
1968:47 [2163],,,,m,m,m,m,
1971:27 [2164],,Sd,Sd,,,,,
1973:7 [2165],Sd,,,,Sd,Sd,,
1977:14 [2166],,,,,Sd,,,
1977:21 [2167],m,,,Sd,,,,
1977:30 [2168],,,,,Sd,,,
1977:31 [2169],Sd,,m,,m,,,
1977:32 [2170],,,,,,,m,
1977:76 [2171],,m,Sd,m,,,,
1980:2 [2172],,,,,,,,
1980:36 [2173],,,,,,Sd,,
1980:64 [2174],m,,m,,,,,
1983:10 [2175],,,,,,,,
1983:31 [2176],,,,,,,,
1983:48 [2177],,m,m,m,,m,,
1986:36 [2178],,,,,Sd,,,
1986:50 [2179],,,,,Sd,,,
1986:63 [2180],,m,m,m,m,,m,
1986:65 [2181],,,,,m,,,
1986:66 [2182],,,,,m,,,
1986:77 [2183],,,,,m,,,
1992:9 [2184],,,,m,m,m,m,
1992:36 [2185],m,,,,m,m,m,
1993:1 [2186],m,m,m,,m,m,,
1993:11 [2187],,,,,,,m,
1993:12 [2188],,,,,,,,
1993:39 [2189],,,,m,,m,,
1993:53 [2190],m,,,m,m,m,m,
1993:62 [2191],,,,m,,m,,
1993:76 [2192],,,,,,,,
1995:13 [2193],,,,m,m,,,
1995:27 [2194],,,,,,,,
1995:28 [2195],m,,m,,m,m,,
1995:38 [2196],,Sd,m,,,,,
1995:39 [2197],m,m,m,m,m,,,
1995:43 [2198],,,,,,,,
1995:44 [2199],,m,,,m,,,
1998:37 [2200],,Sd,,m,Sd,,,
1998:50 [2201],,,m,m,m,,,
1998:60 [2202],,m,,m,,,m,
1999:24 [2203],,m,Sd,m,,,,
1999:38 [2204],,,,,Sd,,,
1999:52 [2205],m,,,m,,,,
2000:39 [2206],,,,,,,,
2000:45 [2207],,,,,,,,
2000:65 [2208],m,m,m,m,,,,
2000:66 [2209],m,m,m,m,,,,
2000:75 [2210],,,,,,,,
2002:5 [2211],,Sd,,Sd,,m,,
2002:7 [2212],m,m,,m,m,,m,
2002:38 [2213],,,,,,Sd,Sd,
2003:4 [2214],,,m,m,Sd,,,
2003:7 [2215],,,,,,,,
2003:9 [2216],,,,,,,,
2003:12 [2217],,m,m,,,,m,
2003:23 [2218],,,,,,,Sd,
2003:24 [2219],,,,,,m,m,
2003:25 [2220],,Sd,Sd,Sd,,,,
2003:26 [2221],m,,,,,,,
2003:31 [2222],m,m,m,m,m,,m,
2003:61 [2223],m,,m,m,,m,,
2007:5 [2224],,,Sd,,,,Sd,
2007:45 [2225],,,Sd,m,,,,
2007:61 [2226],,,,,,,,
2007:78 [2227],Sd,,Sd,,,,Sd,
2008:72 [2228],m,m,m,m,m,m,m,FIXED
2011:10 [2229],,m,m,m,m,m,Sd,
2011:64 [2230],,,,,,,Sd,
2011:70 [2231],m,m,m,m,,,,
2015:19 [2232],,,,,,Sd,,
2015:26 [2233],m,,m,m,m,,,
2015:34 [2234],,m,,,,,,
2015:80 [2235],,m,,,,,,
2018:62 [2236],m,,,,,,m,
2021:42 [2237],m,m,,m,,,m,
2023:40 [2238],,,m,,,Sd,m,
2023:43 [2239],m,,,,Sd,,,
2025:29 [2240],m,,m,,,m,,
2031:22 [2241],m,,,,,,,
2032:9 [2242],,Sd,,m,,m,Sd,
2032:51 [2243],Sd,Sd,,,m,Sd,Sd,
2032:58 [2244],Sd,Sd,,,m,Sd,Sd,
2032:68 [2245],,Sd,,m,,m,Sd,
2032:69 [2246],Sd,,,Sd,,Sd,,
2043:11 [2247],m,m,,m,m,m,Sd,
2043:24 [2248],m,Sd,m,Sd,m,Sd,m,
2043:63 [2249],m,m,Sd,m,,m,m,
2043:64 [2250],,,Sd,,,,Sd,
2043:65 [2251],,,Sd,Sd,Sd,,Sd,
2043:76 [2252],,,Sd,,,,Sd,
2043:78 [2253],,,Sd,,,,Sd,
2046:7 [2254],,m,,m,m,m,m,
2046:16 [2255],m,m,,m,m,m,Sd,
2046:22 [2256],m,m,,m,m,,m,
2046:61 [2257],m,m,,m,m,m,Sd,
2054:15 [2258],,m,,,,,,
2054:17 [2259],,m,,,,,,
2054:53 [2260],,m,,,,,,
2059:7 [2261],,,m,m,,,m,
2059:35 [2262],Sd,,Sd,,,,,
2059:42 [2263],m,,m,m,m,,,
2061:37 [2264],,,,,,,,
2061:69 [2265],,,m,m,m,m,m,
2061:71 [2266],,,,,,,,
2061:75 [2267],m,m,,,m,,,
2065:12 [2268],m,m,m,m,m,m,m,FIXED
2065:48 [2269],m,,m,m,m,,,
2065:56 [2270],m,,m,m,m,,,
2065:68 [2271],m,,m,m,m,,,
2069:24 [2272],Sd,m,m,Sd,m,,m,
2069:37 [2273],Sd,m,m,Sd,m,,m,
2069:70 [2274],Sd,,m,m,m,m,,
2074:22 [2275],Sd,,,Sd,,,,
2074:36 [2276],,,,Sd,,,,
2074:48 [2277],,,,,,,Sd,
2083:16 [2278],,,,,,,,
2083:51 [2279],m,m,Sd,m,m,,m,
2083:52 [2280],,,,,,,,
2085:1 [2281],m,,,,,Sd,,
2085:8 [2282],,,,,,,,
2085:25 [2283],,,,,,,,
2085:35 [2284],,,Sd,,,Sd,,
2085:62 [2285],,,Sd,,,,,
2085:78 [2286],,,m,m,m,m,,
2088:39 [2287],,m,,,,,,
2088:59 [2288],,,m,m,,m,m,
2088:61 [2289],m,,m,,,,,
2093:14 [2290],,,,Sd,,,,
2093:22 [2291],,,m,m,m,m,,
2093:45 [2292],,,,,,,,
2095:10 [2293],,,,,,,,
2095:13 [2294],,m,,m,m,m,m,
2105:44 [2295],m,m,,m,Sd,,,
2105:47 [2296],,,,,,,,
2105:51 [2297],,,,,,,,
2105:59 [2298],m,m,m,,,,m,
2114:46 [2299],,,Sd,,,,,
2114:53 [2300],m,m,m,m,m,m,m,FIXED
2117:65 [2301],,m,,,m,m,,
2117:79 [2302],m,,m,,m,m,m,
2118:12 [2303],m,m,m,m,,m,,
2118:79 [2304],Sd,,,m,,,,
2124:3 [2305],,,m,,,,Sd,
2124:6 [2306],,,m,,,,Sd,
2124:10 [2307],,,,,,,Sd,
2124:30 [2308],,,,,,,Sd,
2124:41 [2309],,m,m,,,,,
2124:45 [2310],,,,,,,,
2124:56 [2311],m,m,,m,m,m,Sd,
2124:62 [2312],,,,,,,,
2124:71 [2313],m,m,,m,m,m,Sd,
2124:72 [2314],,m,,,,,m,
2124:74 [2315],m,m,,m,m,m,Sd,
2128:29 [2316],,,,,,,m,
2128:41 [2317],,,,,,m,,
2128:66 [2318],Sd,,,,,,,
2134:4 [2319],m,,m,m,,,,
2134:11 [2320],,,Sd,,,,,
2134:17 [2321],m,m,m,m,,,m,
2134:62 [2322],m,m,m,m,,,m,
2134:75 [2323],,,,,,,,
2139:5 [2324],,,Sd,m,,,m,
2139:16 [2325],m,m,,Sd,,,,
2139:31 [2326],m,m,m,,,m,,
2139:39 [2327],m,m,,Sd,,,,
2139:55 [2328],,m,m,,,m,,
2139:60 [2329],,,,,,,,
2139:61 [2330],,,,,,,,
2139:66 [2331],,m,m,,,m,,
2142:66 [2332],,,,,,,,
2147:21 [2333],m,m,m,m,m,m,,
2147:47 [2334],,Sd,,m,,,,
2147:50 [2335],Sd,m,,,m,,,
2148:34 [2336],,,,,,,,
2148:35 [2337],m,,m,m,,m,m,
2148:46 [2338],,,,,,,,
2148:74 [2339],,,,,,,,
2154:78 [2340],,m,,m,m,,m,
2162:16 [2341],,,,,,,,
2162:25 [2342],,,m,m,m,,,
2162:69 [2343],,,,,,,,
2162:72 [2344],,,,,,,,
2165:13 [2345],m,m,m,Sd,m,m,,
2165:19 [2346],,,,Sd,m,m,,
2165:38 [2347],m,m,Sd,,,Sd,Sd,
2165:61 [2348],Sd,,Sd,Sd,,Sd,Sd,SIGN
2170:5 [2349],,,,,,,,
2170:39 [2350],,,,,,,,
2170:42 [2351],,m,,m,m,m,,
2176:6 [2352],Sd,m,,m,m,m,m,
2176:16 [2353],,,,,,,,
2176:18 [2354],Sd,,m,Sd,m,,m,
2176:20 [2355],,Sd,,Sd,,Sd,Sd,
2176:37 [2356],m,m,,m,m,m,,
2176:50 [2357],m,m,,,,m,,
2176:54 [2358],m,m,m,m,m,,,
2176:69 [2359],m,m,m,,,m,,
2176:71 [2360],m,m,m,,m,m,,
2181:29 [2361],m,,m,Sd,m,m,m,
2181:49 [2362],m,,m,Sd,m,m,,
2181:57 [2363],m,m,,m,,,Sd,
2181:59 [2364],m,Sd,m,,,m,,
2183:64 [2365],m,m,,,,,m,
2184:11 [2366],,,m,m,m,m,,
2184:29 [2367],,,,,,,m,
2184:56 [2368],,,,,,,,
2186:7 [2369],m,,,,,Sd,Sd,
2188:2 [2370],,,,,,,Sd,
2188:47 [2371],,,,Sd,,,,
2188:75 [2372],,,,,,,,
2190:49 [2373],m,,,,Sd,m,,
2191:76 [2374],m,m,m,m,m,m,m,FIXED
2196:11 [2375],,,,,,,,
2196:24 [2376],,m,m,,m,,m,
2196:28 [2377],,m,m,,m,,m,
2196:29 [2378],,,,,Sd,,Sd,
2196:64 [2379],,m,m,m,m,,m,
2198:6 [2380],,,Sd,Sd,Sd,Sd,Sd,SIGN
2198:22 [2381],,,Sd,Sd,Sd,Sd,Sd,SIGN
2198:34 [2382],,,Sd,Sd,Sd,Sd,Sd,SIGN
2198:35 [2383],,m,,,m,,,
2198:64 [2384],,,Sd,Sd,Sd,Sd,Sd,SIGN
2198:73 [2385],,,Sd,Sd,Sd,Sd,Sd,SIGN
2198:79 [2386],m,m,,m,m,,m,
2214:14 [2387],m,,,m,Sd,,,
2214:55 [2388],Sd,,,,,,,
2214:60 [2389],,,,,,,,
2215:41 [2390],m,m,m,,m,m,,
2221:42 [2391],m,m,,Sd,m,m,,
2221:47 [2392],,,,,,Sd,,
2221:49 [2393],m,m,m,,m,Sd,m,
2221:59 [2394],,m,,,,m,,
2225:5 [2395],,,,m,,,m,
2225:10 [2396],m,m,,,m,m,,
2225:23 [2397],m,,,,,,,
2226:3 [2398],m,m,m,,m,m,,
2226:58 [2399],Sd,,,,,,,
2233:69 [2400],,,,Sd,,,Sd,
2234:14 [2401],,,,,,,m,
2234:30 [2402],,,,,,Sd,,
2234:69 [2403],,,,,,,m,
2236:3 [2404],m,m,m,,m,,m,
2236:33 [2405],,,m,,,m,,
2236:72 [2406],m,m,m,,m,,m,
2239:36 [2407],,,,,Sd,,,
2239:37 [2408],Sd,,,,Sd,Sd,,
2239:48 [2409],m,,m,m,m,,,
2239:78 [2410],Sd,,,,Sd,Sd,,
2239:79 [2411],Sd,,,,Sd,Sd,,
2240:55 [2412],Sd,,,,,,,
2242:29 [2413],m,m,m,m,,,m,
2242:75 [2414],,,,,,,,
2245:13 [2415],,,,,m,m,m,
2245:17 [2416],,,,,m,m,m,
2245:78 [2417],m,,m,m,m,m,m,
2246:2 [2418],,,,,,,,
2246:9 [2419],,,,,,Sd,Sd,
2246:18 [2420],,,,,,,,
2246:64 [2421],m,,m,m,,m,m,
2249:20 [2422],,m,,,Sd,,m,
2249:23 [2423],,,Sd,,,,,
2249:38 [2424],,m,m,m,,Sd,,
2251:46 [2425],m,,m,m,m,,,
2251:56 [2426],Sd,,,,,,,
2251:73 [2427],Sd,,,,,,,
2259:1 [2428],,,,,,,Sd,
2259:3 [2429],m,m,m,,m,,,
2259:8 [2430],,,,,,,,
2259:9 [2431],,,,Sd,,Sd,,
2259:18 [2432],,,,,,,,
2259:27 [2433],,,,,,,,
2259:31 [2434],Sd,,,,,,,
2259:32 [2435],,,,,,,,
2259:49 [2436],,,,,,,,
2259:50 [2437],m,m,m,,m,,,
2268:8 [2438],,,Sd,,Sd,,,
2272:29 [2439],,,,,,,,
2272:46 [2440],m,,m,m,,m,,
2272:74 [2441],m,,m,m,,m,,
2272:77 [2442],m,m,m,m,,m,,
2274:14 [2443],Sd,,Sd,Sd,Sd,,,
2274:66 [2444],,,Sd,,Sd,,,
2285:15 [2445],,,m,m,,,m,
2285:17 [2446],Sd,,,,,,,
2285:35 [2447],m,Sd,m,,,,,
2285:50 [2448],,m,m,,m,m,,
2292:6 [2449],,m,,m,m,,m,
2292:23 [2450],,,,m,,Sd,m,
2292:40 [2451],,m,,,,,,
2293:15 [2452],m,Sd,,m,Sd,m,m,
2294:10 [2453],,Sd,m,,m,,,
2294:12 [2454],Sd,,,m,m,,,
2294:13 [2455],,Sd,Sd,,Sd,Sd,,
2294:15 [2456],,Sd,,,,,,
2294:18 [2457],,Sd,Sd,,Sd,Sd,,
2294:19 [2458],m,Sd,,m,m,m,Sd,
2294:45 [2459],m,Sd,,m,m,m,Sd,
2294:49 [2460],,Sd,Sd,,Sd,Sd,,
2295:29 [2461],,m,,,,,,
2295:67 [2462],,,,,,,,
2295:80 [2463],m,m,,,m,m,m,
2296:64 [2464],Sd,,,,m,m,,
2296:69 [2465],m,m,m,m,Sd,Sd,m,
2297:19 [2466],,,,,,,,
2297:20 [2467],,,,,,,,
2297:56 [2468],,,,,,,m,
2297:65 [2469],,,,,,,m,
2297:70 [2470],,m,m,,m,m,m,
2303:3 [2471],m,,m,Sd,m,m,m,
2303:69 [2472],,,,,,,,
2305:23 [2473],m,,m,,m,,m,
2305:56 [2474],m,m,m,m,,,m,
2307:40 [2475],m,Sd,m,Sd,m,m,Sd,
2307:41 [2476],m,Sd,m,Sd,m,m,Sd,
2307:68 [2477],,,Sd,,,,,
2308:48 [2478],Sd,m,,,m,,,
2314:34 [2479],m,m,,,m,,m,
2314:37 [2480],,m,m,m,m,,m,
2314:68 [2481],m,m,m,m,m,,,
2319:4 [2482],m,Sd,Sd,,Sd,m,m,
2319:5 [2483],m,Sd,Sd,,Sd,m,m,
2319:27 [2484],m,m,m,,,m,,
2319:33 [2485],m,Sd,Sd,,Sd,m,m,
2319:38 [2486],,,,,,,,
2319:49 [2487],,,m,m,,m,m,
2319:52 [2488],m,Sd,Sd,,Sd,m,m,
2319:57 [2489],,,,,,,,
2319:66 [2490],,,,,,,,
2319:69 [2491],m,Sd,Sd,,Sd,m,m,
2319:71 [2492],m,Sd,Sd,,Sd,m,,
2320:42 [2493],,,,,,,,
2322:2 [2494],,m,m,,m,m,m,
2322:71 [2495],,,,,m,,,
2325:9 [2496],m,Sd,,Sd,,Sd,Sd,
2325:37 [2497],m,,,,,m,,
2325:39 [2498],m,m,m,m,Sd,m,,
2330:8 [2499],,,,m,Sd,,,
2330:23 [2500],,m,m,m,m,m,,
2344:3 [2501],m,m,m,m,,m,,
2344:10 [2502],,m,m,,,,,
2344:30 [2503],,m,,m,,,m,
2344:33 [2504],,m,m,,,,,
2344:34 [2505],,m,m,,,,,
2344:47 [2506],m,m,m,m,,m,,
2344:61 [2507],m,m,,,m,m,m,
2344:62 [2508],,,,Sd,,,,
2344:75 [2509],m,m,m,m,,m,,
2348:19 [2510],,,,,,,,
2348:26 [2511],,,Sd,,,,,
2348:27 [2512],m,,,m,m,m,m,
2348:38 [2513],,,m,,,,,
2348:70 [2514],,,,,,,,
2356:15 [2515],,,m,,,,,
2359:50 [2516],Sd,,,m,Sd,,,
2359:64 [2517],,Sd,,,Sd,,,
2368:12 [2518],,m,m,m,,m,,
2368:35 [2519],,,,,,Sd,Sd,
2368:48 [2520],,m,m,m,,m,,
2368:60 [2521],,,,,,Sd,Sd,
2368:75 [2522],,,,,,Sd,Sd,
2369:9 [2523],,m,,m,m,m,m,
2369:49 [2524],,m,,m,m,,,
2378:3 [2525],Sd,,,,,,,
2378:33 [2526],,,,m,,m,m,
2378:65 [2527],Sd,,,,,,,
2383:46 [2528],,m,m,,,,,
2383:72 [2529],,m,m,,,,m,
2390:10 [2530],Sd,,,,,,,
2390:31 [2531],Sd,,m,,m,m,,
2390:38 [2532],,,,,,,,
2390:43 [2533],Sd,,,,,,,
2392:2 [2534],m,,,,m,,,
2392:28 [2535],,,Sd,Sd,,,,
2392:73 [2536],m,m,m,m,m,,,
2392:75 [2537],m,m,m,Sd,,,m,
2392:80 [2538],m,m,m,m,m,,,
2395:21 [2539],,,m,m,m,m,m,
2395:22 [2540],,,m,m,m,m,m,
2395:32 [2541],m,,,m,,Sd,,
2395:46 [2542],m,m,m,m,,,Sd,
2396:50 [2543],,,Sd,,,,,
2396:56 [2544],,,,m,,,m,
2402:44 [2545],m,,,,m,m,m,
2402:72 [2546],,,,Sd,,,,
