Locus	Het	Fst	P(Simul Fst<sample Fst)
SNP_685	0.321429	0.115316	0.714305
SNP_686	0.321429	0.115316	0.714305
SNP_687	0.24026	0.084084	0.691375
SNP_688	0.24026	0.084084	0.691375
SNP_689	0.467532	0.17284	0.85507
SNP_690	0.083333	0.043478	0.65876
SNP_691	0.083333	0.043478	0.65876
SNP_692	0.544872	0.218261	0.836916
SNP_693	0.211111	0.008601	0.358201
SNP_694	0.071429	0.037037	0.918246
SNP_695	0.0	-100.0	0.5
SNP_696	0.0	-100.0	0.5
SNP_697	0.0	-100.0	0.5
SNP_698	0.076923	0.04	0.9333
SNP_699	0.076923	0.04	0.9333
SNP_700	0.431818	0.066277	0.592736
SNP_701	0.0	-100.0	0.5
SNP_702	0.0	-100.0	0.5
SNP_703	0.0	-100.0	0.5
SNP_704	0.0	-100.0	0.5
SNP_705	0.223077	-0.024257	0.205886
SNP_706	0.0	-100.0	0.5
SNP_707	0.386364	-0.055462	0.0
SNP_708	0.302564	-0.00526	0.366309
SNP_709	0.227273	-0.045031	0.0
SNP_710	0.227273	-0.045031	0.0
SNP_711	0.227273	-0.045031	0.0
SNP_712	0.227273	-0.045031	0.0
SNP_713	0.261364	-0.032946	0.132194
SNP_714	0.1	0.052632	0.685235
SNP_715	0.055556	0.0	0.619311
SNP_716	0.24026	0.056133	0.613655
SNP_717	0.24026	0.056133	0.613655
SNP_718	0.24026	0.056133	0.613655
SNP_719	0.090909	0.047619	0.670478
SNP_720	0.0	-100.0	0.5
SNP_721	0.0	-100.0	0.5
SNP_722	0.607143	0.419864	0.961901
SNP_723	0.3	0.036062	0.511777
SNP_724	0.5	0.042525	0.585373
SNP_725	0.5	0.042525	0.585373
SNP_726	0.5	0.042525	0.585373
SNP_727	0.0	-100.0	0.5
SNP_728	0.315385	-0.046213	0.0
SNP_729	0.083333	0.043478	0.65876
SNP_730	0.153846	0.12	1.0
SNP_731	0.0	-100.0	0.5
SNP_732	0.153846	-0.042771	0.042571
SNP_733	0.0	-100.0	0.5
SNP_734	0.0	-100.0	0.5
SNP_735	0.083333	0.043478	0.65876
SNP_736	0.392308	0.287582	0.918927
SNP_737	0.392308	0.287582	0.918927
SNP_738	0.387179	0.18881	0.81005
SNP_739	0.045455	0.0	0.619311
SNP_740	0.0	-100.0	0.5
SNP_741	0.318182	0.285714	0.935881
SNP_742	0.467033	0.003312	0.357416
SNP_743	0.467033	0.003312	0.357416
SNP_744	0.0	-100.0	0.5
SNP_745	0.188889	-0.055181	0.0
SNP_746	0.0	-100.0	0.5
SNP_747	0.458333	0.019763	0.525647
SNP_748	0.0	-100.0	0.5
SNP_749	0.0	-100.0	0.5
SNP_750	0.0	-100.0	0.5
SNP_751	0.0	-100.0	0.5
SNP_752	0.0	-100.0	0.5
SNP_753	0.0	-100.0	0.5
SNP_754	0.0	-100.0	0.5
SNP_755	0.486264	0.003314	0.491182
SNP_756	0.484615	0.046488	0.652518
SNP_757	0.628205	0.465081	0.9745
SNP_758	0.628205	0.465081	0.9745
SNP_759	0.602564	0.42515	0.98098
SNP_760	0.083333	0.043478	0.65876
SNP_761	0.071429	0.037037	0.918246
SNP_762	0.071429	0.037037	0.918246
SNP_763	0.597222	0.326906	0.917517
SNP_764	0.192308	0.16	0.79802
SNP_765	0.0	-100.0	0.5
SNP_766	0.038462	0.0	0.5
SNP_767	0.458333	-0.058823	0.0
SNP_768	0.0	-100.0	0.5
SNP_769	0.492308	-0.02931	0.264408
SNP_770	0.497436	-0.037184	0.178197
SNP_771	0.321429	-0.032479	0.086286
SNP_772	0.444444	-0.016176	0.319397
SNP_773	0.033333	0.0	0.5
SNP_774	0.05	0.0	0.619311
SNP_775	0.05	0.0	0.619311
SNP_776	0.066667	0.034483	0.904011
SNP_777	0.5	0.159682	0.81726
SNP_778	0.476852	0.072952	0.625381
SNP_779	0.405594	0.179639	0.844074
SNP_780	0.433333	0.092608	0.658826
SNP_781	0.333333	0.294118	0.943906
SNP_782	0.430556	-0.039271	0.043196
SNP_783	0.430556	-0.039271	0.043196
SNP_784	0.430556	-0.039271	0.043196
SNP_785	0.142857	0.076923	0.590115
SNP_786	0.583333	0.270508	0.847299
SNP_787	0.0	-100.0	0.5
SNP_788	0.136364	-0.02807	0.210975
SNP_789	0.035714	0.0	0.5
SNP_790	0.041667	0.0	0.619311
SNP_791	0.041667	0.0	0.619311
SNP_792	0.0	-100.0	0.5
SNP_793	0.277273	-0.046099	0.0
SNP_794	0.05	0.0	0.619311
SNP_795	0.277273	-0.046099	0.0
SNP_796	0.0	-100.0	0.5
SNP_797	0.423077	-0.037116	0.067697
SNP_798	0.423077	-0.037116	0.067697
SNP_799	0.427885	-0.053333	0.0
SNP_800	0.403846	-0.04381	0.002883
SNP_801	0.5	0.112248	0.747143
SNP_802	0.0	-100.0	0.5
SNP_803	0.368132	0.173753	0.789824
SNP_804	0.133333	0.103448	1.0
SNP_805	0.133333	0.103448	1.0
SNP_806	0.133333	0.103448	1.0
SNP_807	0.107143	-0.030864	0.0
SNP_808	0.314815	0.072063	0.627732
SNP_809	0.474747	0.011622	0.399852
SNP_810	0.311538	-0.023392	0.218151
SNP_811	0.311538	-0.023392	0.218151
SNP_812	0.109467	-0.025946	0.368576
SNP_813	0.416084	0.029132	0.531067
SNP_814	0.0	-100.0	0.5
SNP_815	0.142857	0.111111	1.0
SNP_816	0.211538	-0.016812	0.227321
SNP_817	0.166667	-0.018116	0.291853
SNP_818	0.092593	-0.05	0.0
SNP_819	0.041667	0.0	0.619311
SNP_820	0.041667	0.0	0.619311
SNP_821	0.041667	0.0	0.619311
SNP_822	0.6	0.578947	1.0
SNP_823	0.6	0.578947	1.0
SNP_824	0.181818	0.142857	1.0
SNP_825	0.401099	0.214815	0.881259
SNP_826	0.357143	0.333333	1.0
SNP_827	0.357143	0.333333	1.0
SNP_828	0.397436	0.128454	0.772503
SNP_829	0.417949	0.038714	0.563173
SNP_830	0.076923	0.04	0.9333
SNP_831	0.071429	0.037037	0.918246
SNP_832	0.368132	0.173753	0.789824
SNP_833	0.069231	-0.037037	0.203661
SNP_834	0.448718	0.114089	0.723387
SNP_835	0.182692	-0.028924	0.15456
SNP_836	0.269231	-0.041159	0.031082
SNP_837	0.182692	-0.028924	0.15456
SNP_838	0.0	-100.0	0.5
SNP_839	0.0	-100.0	0.5
SNP_840	0.038462	0.0	0.5
SNP_841	0.0	-100.0	0.5
SNP_842	0.3125	0.003204	0.416395
SNP_843	0.3125	0.003204	0.416395
SNP_844	0.3125	0.003204	0.416395
SNP_845	0.0	-100.0	0.5
SNP_846	0.346154	0.32	1.0
SNP_847	0.346154	0.32	1.0
SNP_848	0.0	-100.0	0.5
SNP_849	0.269231	0.134921	0.817387
SNP_850	0.230769	0.2	0.923012
SNP_851	0.133333	0.103448	1.0
SNP_852	0.133333	0.103448	1.0
SNP_853	0.133333	0.103448	1.0
SNP_854	0.0	-100.0	0.5
SNP_855	0.0	-100.0	0.5
SNP_856	0.0	-100.0	0.5
SNP_857	0.2	0.001238	0.326558
SNP_858	0.179487	-0.035528	0.0
SNP_859	0.035714	0.0	0.5
SNP_860	0.3	0.037481	0.515192
SNP_861	0.3	0.037481	0.515192
SNP_862	0.3	0.037481	0.515192
SNP_863	0.107143	-0.030864	0.0
SNP_864	0.107143	-0.030864	0.0
SNP_865	0.107143	-0.030864	0.0
SNP_866	0.269231	-0.033333	0.127711
SNP_867	0.175	-0.034483	0.0
SNP_868	0.175	-0.034483	0.0
SNP_869	0.269231	-0.033333	0.127711
SNP_870	0.175	-0.034483	0.0
SNP_871	0.0	-100.0	0.5
SNP_872	0.035714	0.0	0.5
SNP_873	0.260684	-0.020829	0.253236
SNP_874	0.0	-100.0	0.5
SNP_875	0.0	-100.0	0.5
SNP_876	0.276859	0.022743	0.499597
SNP_877	0.276859	0.022743	0.499597
SNP_878	0.137363	-0.038341	0.127938
SNP_879	0.0	-100.0	0.5
SNP_880	0.0	-100.0	0.5
SNP_881	0.5	-0.034252	0.065967
SNP_882	0.5	-0.043239	0.0
SNP_883	0.392308	-0.037232	0.0
SNP_884	0.392308	-0.037232	0.0
SNP_885	0.392308	-0.037232	0.0
SNP_886	0.285714	-0.010568	0.334126
SNP_887	0.153846	0.12	1.0
SNP_888	0.153846	0.12	1.0
SNP_889	0.076923	0.04	0.9333
SNP_890	0.112179	-0.029714	0.247139
SNP_891	0.071429	0.037037	0.918246
SNP_892	0.197802	-0.015309	0.237263
SNP_893	0.076923	0.04	0.9333
SNP_894	0.045455	0.0	0.619311
SNP_895	0.450413	-0.042813	0.0
SNP_896	0.450413	-0.042813	0.0
SNP_897	0.450413	-0.042813	0.0
SNP_898	0.366071	0.070343	0.634946
SNP_899	0.366071	0.070343	0.634946
SNP_900	0.346154	0.32	1.0
SNP_901	0.346154	0.32	1.0
SNP_902	0.346154	0.32	1.0
SNP_903	0.153846	0.12	1.0
SNP_904	0.055556	0.0	0.619311
SNP_905	0.083333	0.043478	0.65876
SNP_906	0.083333	0.043478	0.65876
SNP_907	0.083333	0.043478	0.65876
SNP_908	0.038462	0.0	0.5
SNP_909	0.0	-100.0	0.5
SNP_910	0.0	-100.0	0.5
SNP_911	0.0	-100.0	0.5
SNP_912	0.0	-100.0	0.5
SNP_913	0.423077	-0.027001	0.172649
SNP_914	0.476923	0.104924	0.715711
SNP_915	0.476923	0.104924	0.715711
SNP_916	0.476923	0.104924	0.715711
SNP_917	0.076923	0.04	0.9333
SNP_918	0.041667	0.0	0.619311
SNP_919	0.076923	0.04	0.9333
SNP_920	0.0	-100.0	0.5
SNP_921	0.3	0.263158	0.926818
SNP_922	0.233333	-0.027133	0.172487
SNP_923	0.1	0.052632	0.685235
SNP_924	0.357143	0.333333	1.0
SNP_925	0.17094	-0.043765	0.0
SNP_926	0.239645	0.017778	0.483842
SNP_927	0.239645	0.017778	0.483842
SNP_928	0.033333	0.0	0.5
SNP_929	0.0	-100.0	0.5
SNP_930	0.3125	-0.004912	0.371719
SNP_931	0.181818	0.142857	1.0
SNP_932	0.181818	0.142857	1.0
SNP_933	0.181818	0.142857	1.0
SNP_934	0.181818	0.142857	1.0
SNP_935	0.181818	0.142857	1.0
SNP_936	0.0	-100.0	0.5
SNP_937	0.0	-100.0	0.5
SNP_938	0.0	-100.0	0.5
SNP_939	0.0	-100.0	0.5
SNP_940	0.071429	0.037037	0.918246
SNP_941	0.392857	0.09697	0.663379
SNP_942	0.252747	-0.021852	0.244336
SNP_943	0.236264	0.025151	0.511507
SNP_944	0.236264	0.025151	0.511507
SNP_945	0.2	0.001238	0.326558
SNP_946	0.320513	-0.028174	0.156617
SNP_947	0.302564	-0.00526	0.366309
SNP_948	0.035714	0.0	0.5
SNP_949	0.035714	0.0	0.5
SNP_950	0.035714	0.0	0.5
SNP_951	0.420635	-0.04273	0.007525
SNP_952	0.214286	0.185185	0.908117
SNP_953	0.423077	0.162257	0.801789
SNP_954	0.555556	0.529412	1.0
SNP_955	0.076923	0.04	0.9333
SNP_956	0.0	-100.0	0.5
SNP_957	0.435897	-0.040205	0.032737
SNP_958	0.452381	0.11823	0.729115
SNP_959	0.452381	0.11823	0.729115
SNP_960	0.452381	0.11823	0.729115
SNP_961	0.208333	0.173913	0.853802
SNP_962	0.208333	0.173913	0.853802
SNP_963	0.045455	0.0	0.619311
SNP_964	0.161538	-0.043609	0.0
SNP_965	0.157143	-0.057416	0.0
SNP_966	0.157143	-0.057416	0.0
SNP_967	0.076923	0.04	0.9333
SNP_968	0.0	-100.0	0.5
SNP_969	0.076923	0.04	0.9333
SNP_970	0.15	-0.048246	0.0
SNP_971	0.090909	0.047619	0.670478
SNP_972	0.125	0.086957	0.690229
SNP_973	0.090909	0.047619	0.670478
SNP_974	0.2	-0.044336	0.0
SNP_975	0.458333	0.434783	0.97634
SNP_976	0.15	0.016908	0.378421
SNP_977	0.0	-100.0	0.5
SNP_978	0.0	-100.0	0.5
SNP_979	0.0	-100.0	0.5
SNP_980	0.05	0.0	0.619311
SNP_981	0.0	-100.0	0.5
SNP_982	0.0	-100.0	0.5
SNP_983	0.0	-100.0	0.5
SNP_984	0.0	-100.0	0.5
SNP_985	0.0	-100.0	0.5
SNP_986	0.0	-100.0	0.5
SNP_987	0.5	-0.049212	0.0
SNP_988	0.208333	0.173913	0.853802
SNP_989	0.055556	0.0	0.619311
SNP_990	0.3125	-0.058947	0.0
SNP_991	0.3875	0.087473	0.644095
SNP_992	0.5	-0.034943	0.054858
SNP_993	0.153846	0.12	1.0
SNP_994	0.038462	0.0	0.5
SNP_995	0.266667	0.066313	0.643857
SNP_996	0.045455	0.0	0.619311
SNP_997	0.481481	-0.024592	0.186297
SNP_998	0.153846	0.12	1.0
SNP_999	0.481481	-0.024592	0.186297
SNP_1000	0.153846	0.12	1.0
SNP_1001	0.481481	-0.024592	0.186297
SNP_1002	0.454545	-0.05098	0.0
SNP_1003	0.454545	-0.05098	0.0
SNP_1004	0.454545	-0.05098	0.0
SNP_1005	0.397436	-0.023048	0.234609
SNP_1006	0.104938	-0.058824	0.0
SNP_1007	0.357143	-0.027149	0.17231
SNP_1008	0.055556	0.0	0.619311
SNP_1009	0.055556	0.0	0.619311
SNP_1010	0.071429	0.0	0.619311
SNP_1011	0.357143	-0.027149	0.17231
SNP_1012	0.055556	0.0	0.619311
SNP_1013	0.055556	0.0	0.619311
SNP_1014	0.357143	-0.027149	0.17231
SNP_1015	0.467949	-0.015414	0.246919
SNP_1016	0.44359	0.260873	0.946624
SNP_1017	0.44359	0.260873	0.946624
SNP_1018	0.5	0.211989	0.873267
SNP_1019	0.133333	-0.036605	0.146971
SNP_1020	0.44359	0.260873	0.946624
SNP_1021	0.221591	0.014652	0.470998
SNP_1022	0.0625	0.0	0.619311
SNP_1023	0.480519	0.002079	0.350768
SNP_1024	0.11039	-0.058823	0.0
SNP_1025	0.11039	-0.058823	0.0
SNP_1026	0.422078	-0.021696	0.218986
SNP_1027	0.375	0.333333	0.958095
SNP_1028	0.0	-100.0	0.5
SNP_1029	0.375	0.333333	0.958095
SNP_1030	0.181818	0.142857	1.0
SNP_1031	0.181818	0.142857	1.0
SNP_1032	0.5	0.191626	0.853565
SNP_1033	0.5	0.191626	0.853565
SNP_1034	0.153846	0.12	1.0
SNP_1035	0.569444	0.239598	0.812976
SNP_1036	0.0	-100.0	0.5
SNP_1037	0.0	-100.0	0.5
SNP_1038	0.4875	-0.036085	0.19111
SNP_1039	0.366071	0.070343	0.634946
SNP_1040	0.0	-100.0	0.5
SNP_1041	0.5	0.48	0.995075
SNP_1042	0.5	0.48	0.995075
SNP_1043	0.0	-100.0	0.5
SNP_1044	0.274359	-0.024492	0.220337
SNP_1045	0.420455	0.249035	0.93245
SNP_1046	0.420455	0.249035	0.93245
SNP_1047	0.420455	0.249035	0.93245
SNP_1048	0.090909	0.047619	0.670478
SNP_1049	0.0	-100.0	0.5
SNP_1050	0.071429	0.037037	0.918246
SNP_1051	0.071429	0.037037	0.918246
SNP_1052	0.0	-100.0	0.5
SNP_1053	0.0	-100.0	0.5
SNP_1054	0.0	-100.0	0.5
SNP_1055	0.035714	0.0	0.5
SNP_1056	0.490741	-0.049558	0.026026
SNP_1057	0.477273	-0.054422	0.009389
SNP_1058	0.055556	0.0	0.619311
SNP_1059	0.223077	0.085612	0.695297
SNP_1060	0.354167	0.05767	0.598387
SNP_1061	0.0	-100.0	0.5
SNP_1062	0.038462	0.0	0.5
SNP_1063	0.439394	-0.044978	0.0
SNP_1064	0.071429	0.037037	0.918246
SNP_1065	0.0	-100.0	0.5
SNP_1066	0.333333	0.304348	0.953358
SNP_1067	0.0	-100.0	0.5
SNP_1068	0.0	-100.0	0.5
SNP_1069	0.0	-100.0	0.5
SNP_1070	0.0	-100.0	0.5
SNP_1071	0.0	-100.0	0.5
SNP_1072	0.0	-100.0	0.5
SNP_1073	0.05	0.0	0.619311
SNP_1074	0.0	-100.0	0.5
SNP_1075	0.525641	0.052989	0.51256
SNP_1076	0.181818	0.142857	1.0
SNP_1077	0.522727	0.120497	0.749538
SNP_1078	0.522727	0.120497	0.749538
SNP_1079	0.522727	0.120497	0.749538
SNP_1080	0.411243	-0.036259	0.08609
SNP_1081	0.411243	-0.036259	0.08609
SNP_1082	0.137363	-0.038341	0.127938
SNP_1083	0.5	-0.033333	0.080674
SNP_1084	0.133333	0.103448	1.0
SNP_1085	0.464286	-0.019638	0.275538
SNP_1086	0.069231	-0.037037	0.203661
SNP_1087	0.038462	0.0	0.5
SNP_1088	0.207101	-0.010286	0.267836
SNP_1089	0.0	-100.0	0.5
SNP_1090	0.0	-100.0	0.5
SNP_1091	0.0	-100.0	0.5
SNP_1092	0.547619	0.218021	0.846095
SNP_1093	0.0	-100.0	0.5
SNP_1094	0.137363	-0.038341	0.127938
SNP_1095	0.133333	0.103448	1.0
SNP_1096	0.230769	0.2	0.923012
SNP_1097	0.1	0.052632	0.685235
SNP_1098	0.142857	0.111111	1.0
SNP_1099	0.142857	0.111111	1.0
SNP_1100	0.066667	0.034483	0.904011
SNP_1101	0.066667	0.034483	0.904011
SNP_1102	0.223077	-0.031579	0.113822
SNP_1103	0.1	0.052632	0.685235
SNP_1104	0.223077	-0.031579	0.113822
SNP_1105	0.0	-100.0	0.5
SNP_1106	0.0	-100.0	0.5
SNP_1107	0.166667	0.130435	0.704517
SNP_1108	0.166667	0.130435	0.704517
SNP_1109	0.166667	0.130435	0.704517
SNP_1110	0.0	-100.0	0.5
SNP_1111	0.0	-100.0	0.5
SNP_1112	0.261905	0.028986	0.522178
SNP_1113	0.188312	-0.020434	0.201522
SNP_1114	0.188312	-0.020434	0.201522
SNP_1115	0.076923	0.04	0.9333
SNP_1116	0.0	-100.0	0.5
SNP_1117	0.461538	-0.031418	0.0
SNP_1118	0.0	-100.0	0.5
SNP_1119	0.0	-100.0	0.5
SNP_1120	0.488462	-0.019395	0.352792
SNP_1121	0.488462	-0.019395	0.352792
SNP_1122	0.535897	0.14882	0.73228
SNP_1123	0.516667	0.040348	0.45988
SNP_1124	0.516667	0.040348	0.45988
SNP_1125	0.516667	0.040348	0.45988
SNP_1126	0.071429	0.037037	0.918246
SNP_1127	0.071429	0.037037	0.918246
SNP_1128	0.076923	0.04	0.9333
SNP_1129	0.071429	0.037037	0.918246
SNP_1130	0.083333	0.043478	0.65876
SNP_1131	0.369048	0.241935	0.873123
SNP_1132	0.369048	0.241935	0.873123
SNP_1133	0.372727	-0.011186	0.301573
SNP_1134	0.269231	0.24	0.987972
SNP_1135	0.0	-100.0	0.5
SNP_1136	0.0	-100.0	0.5
SNP_1137	0.0	-100.0	0.5
SNP_1138	0.0	-100.0	0.5
SNP_1139	0.0	-100.0	0.5
SNP_1140	0.0	-100.0	0.5
SNP_1141	0.25	-0.046377	0.0
SNP_1142	0.15	0.105263	1.0
SNP_1143	0.557692	0.173357	0.768542
SNP_1144	0.0	-100.0	0.5
SNP_1145	0.0	-100.0	0.5
SNP_1146	0.166667	0.130435	0.704517
SNP_1147	0.305556	0.077061	0.599867
SNP_1148	0.0	-100.0	0.5
SNP_1149	0.246154	-0.035632	0.052345
SNP_1150	0.2	0.157895	0.790316
SNP_1151	0.576923	0.232842	0.804757
SNP_1152	0.478022	-0.023704	0.192291
SNP_1153	0.0	-100.0	0.5
SNP_1154	0.0	-100.0	0.5
SNP_1155	0.291667	0.26087	0.921807
SNP_1156	0.291667	0.26087	0.921807
SNP_1157	0.291667	0.26087	0.921807
SNP_1158	0.291667	0.26087	0.921807
SNP_1159	0.291667	0.26087	0.921807
SNP_1160	0.071429	0.037037	0.918246
SNP_1161	0.517857	0.037315	0.446042
SNP_1162	0.517857	0.037315	0.446042
SNP_1163	0.247222	0.043495	0.574265
SNP_1164	0.247222	0.043495	0.574265
SNP_1165	0.0	-100.0	0.5
SNP_1166	0.25	-0.036232	0.09291
SNP_1167	0.25	-0.036232	0.09291
SNP_1168	0.431818	-0.057018	0.0
SNP_1169	0.071429	0.037037	0.918246
SNP_1170	0.0	-100.0	0.5
SNP_1171	0.125	-0.037681	0.135603
SNP_1172	0.125	-0.037681	0.135603
SNP_1173	0.230769	0.2	0.923012
SNP_1174	0.076923	0.04	0.9333
SNP_1175	0.076923	0.04	0.9333
SNP_1176	0.076923	0.04	0.9333
SNP_1177	0.076923	0.04	0.9333
SNP_1178	0.189744	-0.019199	0.210637
SNP_1179	0.5	0.293507	0.932503
SNP_1180	0.417949	0.038714	0.563173
SNP_1181	0.272189	0.050435	0.594849
SNP_1182	0.423077	0.4	1.0
SNP_1183	0.0	-100.0	0.5
SNP_1184	0.0	-100.0	0.5
SNP_1185	0.0	-100.0	0.5
SNP_1186	0.0	-100.0	0.5
SNP_1187	0.505952	-0.013981	0.313945
SNP_1188	0.0	-100.0	0.5
SNP_1189	0.090909	0.047619	0.670478
SNP_1190	0.25	0.2	0.937372
SNP_1191	0.05	0.0	0.619311
SNP_1192	0.333333	-0.06026	0.0
SNP_1193	0.333333	-0.06026	0.0
SNP_1194	0.333333	-0.06026	0.0
SNP_1195	0.0	-100.0	0.5
SNP_1196	0.18	-0.052632	0.0
SNP_1197	0.0	-100.0	0.5
SNP_1198	0.266667	0.066313	0.643857
SNP_1199	0.228022	0.009032	0.445818
SNP_1200	0.228022	0.009032	0.445818
SNP_1201	0.228022	0.009032	0.445818
SNP_1202	0.228022	0.009032	0.445818
SNP_1203	0.488095	-0.039943	0.144641
SNP_1204	0.0	-100.0	0.5
SNP_1205	0.52381	0.061265	0.545354
SNP_1206	0.0	-100.0	0.5
SNP_1207	0.0	-100.0	0.5
SNP_1208	0.430769	0.044335	0.531299
SNP_1209	0.073964	-0.04	0.166088
SNP_1210	0.073964	-0.04	0.166088
SNP_1211	0.073964	-0.04	0.166088
SNP_1212	0.0	-100.0	0.5
SNP_1213	0.0	-100.0	0.5
SNP_1214	0.372727	-0.036365	0.0
SNP_1215	0.372727	-0.036365	0.0
SNP_1216	0.372727	-0.036365	0.0
SNP_1217	0.192308	-0.025558	0.159321
SNP_1218	0.166667	0.137931	1.0
SNP_1219	0.0	-100.0	0.5
SNP_1220	0.214286	0.185185	0.908117
SNP_1221	0.0	-100.0	0.5
SNP_1222	0.125	0.066667	0.534781
SNP_1223	0.0	-100.0	0.5
SNP_1224	0.0	-100.0	0.5
SNP_1225	0.071429	0.0	0.619311
SNP_1226	0.166667	0.010031	0.387852
SNP_1227	0.0	-100.0	0.5
SNP_1228	0.166667	0.130435	0.704517
SNP_1229	0.166667	0.130435	0.704517
SNP_1230	0.166667	0.130435	0.704517
SNP_1231	0.0	-100.0	0.5
SNP_1232	0.090909	0.047619	0.670478
SNP_1233	0.233333	-0.027133	0.172487
SNP_1234	0.385714	0.137102	0.735048
SNP_1235	0.385714	0.137102	0.735048
SNP_1236	0.385714	0.137102	0.735048
SNP_1237	0.17033	-0.027049	0.204635
SNP_1238	0.0	-100.0	0.5
SNP_1239	0.0	-100.0	0.5
SNP_1240	0.0	-100.0	0.5
SNP_1241	0.035714	0.0	0.5
SNP_1242	0.035714	0.0	0.5
SNP_1243	0.510256	0.034102	0.558388
SNP_1244	0.0	-100.0	0.5
SNP_1245	0.0	-100.0	0.5
SNP_1246	0.0	-100.0	0.5
SNP_1247	0.0	-100.0	0.5
SNP_1248	0.076923	0.04	0.9333
SNP_1249	0.071429	0.037037	0.918246
SNP_1250	0.071429	0.037037	0.918246
SNP_1251	0.071429	0.037037	0.918246
SNP_1252	0.261905	-0.038208	0.06816
SNP_1253	0.410714	0.203669	0.870348
SNP_1254	0.261905	-0.038208	0.06816
SNP_1255	0.076923	0.04	0.9333
SNP_1256	0.0	-100.0	0.5
SNP_1257	0.111111	0.058824	0.704721
SNP_1258	0.346154	-0.037742	0.03562
SNP_1259	0.115385	0.08	0.797939
SNP_1260	0.466667	0.241868	0.938608
SNP_1261	0.0	-100.0	0.5
SNP_1262	0.0	-100.0	0.5
SNP_1263	0.0	-100.0	0.5
SNP_1264	0.458333	0.070393	0.652004
SNP_1265	0.5	0.284211	0.927047
SNP_1266	0.653846	0.64	0.998093
SNP_1267	0.653846	0.64	0.998093
SNP_1268	0.0	-100.0	0.5
SNP_1269	0.083333	0.043478	0.65876
SNP_1270	0.402367	0.204706	0.871395
SNP_1271	0.2	0.172414	0.847305
SNP_1272	0.371795	0.096171	0.661795
SNP_1273	0.0	-100.0	0.5
SNP_1274	0.083333	0.043478	0.65876
SNP_1275	0.444444	-0.025572	0.164789
SNP_1276	0.0	-100.0	0.5
SNP_1277	0.090909	0.047619	0.670478
SNP_1278	0.109467	-0.025946	0.368576
SNP_1279	0.038462	0.0	0.5
SNP_1280	0.041667	0.0	0.619311
SNP_1281	0.4125	0.068581	0.649116
SNP_1282	0.0	-100.0	0.5
SNP_1283	0.0	-100.0	0.5
SNP_1284	0.083333	0.043478	0.65876
SNP_1285	0.0	-100.0	0.5
SNP_1286	0.107143	0.074074	0.764543
SNP_1287	0.041667	0.0	0.619311
SNP_1288	0.038462	0.0	0.5
SNP_1289	0.033333	0.0	0.5
SNP_1290	0.0	-100.0	0.5
SNP_1291	0.0	-100.0	0.5
SNP_1292	0.076923	0.04	0.9333
SNP_1293	0.076923	0.04	0.9333
SNP_1294	0.0	-100.0	0.5
SNP_1295	0.0	-100.0	0.5
SNP_1296	0.142857	0.076923	0.590115
SNP_1297	0.142857	0.076923	0.590115
SNP_1298	0.0	-100.0	0.5
SNP_1299	0.0	-100.0	0.5
SNP_1300	0.0	-100.0	0.5
SNP_1301	0.318182	-0.008056	0.351633
SNP_1302	0.318182	-0.008056	0.351633
SNP_1303	0.318182	-0.008056	0.351633
SNP_1304	0.318182	-0.008056	0.351633
SNP_1305	0.111111	0.058824	0.704721
SNP_1306	0.0	-100.0	0.5
SNP_1307	0.0	-100.0	0.5
SNP_1308	0.455128	0.03711	0.577049
SNP_1309	0.455128	0.03711	0.577049
SNP_1310	0.038462	0.0	0.5
SNP_1311	0.384615	0.36	0.977506
SNP_1312	0.230769	0.2	0.923012
SNP_1313	0.0	-100.0	0.5
SNP_1314	0.0	-100.0	0.5
SNP_1315	0.615385	0.406437	0.956546
SNP_1316	0.615385	0.406437	0.956546
SNP_1317	0.0	-100.0	0.5
SNP_1318	0.0	-100.0	0.5
SNP_1319	0.0	-100.0	0.5
SNP_1320	0.472527	-0.026977	0.170109
SNP_1321	0.166667	-0.02313	0.255076
SNP_1322	0.44359	0.158262	0.794622
SNP_1323	0.0	-100.0	0.5
SNP_1324	0.172619	-0.036482	0.0
SNP_1325	0.222222	0.176471	0.884974
SNP_1326	0.415385	0.119625	0.757474
SNP_1327	0.415385	0.119625	0.757474
SNP_1328	0.416667	0.391304	0.981659
SNP_1329	0.583333	0.565217	0.9948
SNP_1330	0.0	-100.0	0.5
SNP_1331	0.0	-100.0	0.5
SNP_1332	0.0	-100.0	0.5
SNP_1333	0.0	-100.0	0.5
SNP_1334	0.452381	0.11823	0.729115
SNP_1335	0.452381	0.11823	0.729115
SNP_1336	0.0	-100.0	0.5
SNP_1337	0.0	-100.0	0.5
SNP_1338	0.041667	0.0	0.619311
SNP_1339	0.0	-100.0	0.5
SNP_1340	0.083333	0.043478	0.65876
SNP_1341	0.284615	0.154085	0.734018
SNP_1342	0.464646	0.21593	0.834223
SNP_1343	0.464646	0.21593	0.834223
SNP_1344	0.038462	0.0	0.5
SNP_1345	0.038462	0.0	0.5
SNP_1346	0.0	-100.0	0.5
SNP_1347	0.090909	0.047619	0.670478
SNP_1348	0.192308	0.16	0.79802
SNP_1349	0.066667	0.034483	0.904011
SNP_1350	0.0	-100.0	0.5
SNP_1351	0.076923	0.04	0.9333
SNP_1352	0.076923	0.04	0.9333
SNP_1353	0.076923	0.04	0.9333
SNP_1354	0.076923	0.04	0.9333
